brand,name,gender,year,top_notes,heart_notes,base_notes,family,rating,imageUrl
Tom Ford,Aura Nectar 0986,UNISEX,2004,Mint;Bergamot;Neroli,Jasmine;Violet;Cedar,Vanilla;Oud;Myrrh,Green Aromatic,4.6,
Guerlain,Oud Reserve 0987,WOMEN,2022,Fig Leaf;Apple;Juniper Berries,Tuberose;Cedar;Rose,Oud;Vanilla;Musk,Woody Spicy,3.8,
Maison Francis Kurkdjian,Opaline Pulse 0988,WOMEN,2013,Aldehydes;Ginger;Lemon,Iris;Tuberose;Geranium,Incense;Labdanum;Cashmeran,Oriental Vanilla,4.8,
Diptyque,Solar Signature 0989,MEN,1996,Pink Pepper;Fig Leaf;Grapefruit,Cedar;Orange Blossom;Nutmeg,Amber;Vetiver;Myrrh,Citrus Aromatic,4.2,
Byredo,Zenith Essence 0990,UNISEX,2021,Ginger;Pink Pepper;Apple,Iris;Violet;Ylang Ylang,Cedarwood;Musk;Oakmoss,Floral Woody Musk,3.9,https://images.odora.it/perfumes/byredo-0990.jpg
Yves Saint Laurent,Royal Edition 0991,WOMEN,1999,Saffron;Lemon;Mandarin,Patchouli;Fig;Iris,Myrrh;Vanilla;Vetiver,Woody Spicy,3.6,
Acqua di Parma,Zenith Elixir 0992,WOMEN,1986,Ginger;Saffron;Bergamot,Rose;Lavender;Coffee,Amber;Praline;Benzoin,Floral Woody Musk,4.6,
Parfums de Marly,Noble Edition 0993,MEN,2010,Grapefruit;Fig Leaf;Bergamot,Cinnamon;Patchouli;Cedar,Cashmeran;Vanilla;Amber,Aromatic Fougere,3.9,
Initio,Intense Fusion 0994,MEN,1996,Fig Leaf;Cardamom;Mint,Patchouli;Nutmeg;Cedar,Oud;Oakmoss;Tonka Bean,Aromatic Fougere,4.0,
Mancera,Saffron Whisper 0995,UNISEX,2000,Bergamot;Juniper Berries;Saffron,Nutmeg;Jasmine;Geranium,Benzoin;Cedarwood;Myrrh,Fresh Citrus,3.9,https://images.odora.it/perfumes/mancera-0995.jpg
Montale,Intense Code 0996,WOMEN,1997,Bergamot;Mandarin;Grapefruit,Tuberose;Rose;Orange Blossom,Myrrh;Oakmoss;Musk,Woody Amber,3.7,
Nishane,Zenith Essence 0997,UNISEX,2014,Lemon;Fig Leaf;Neroli,Geranium;Coffee;Rose,Cashmeran;Praline;Leather,Green Aromatic,4.8,
Memo Paris,Solar Signature 0998,MEN,1993,Pear;Apple;Cardamom,Nutmeg;Violet;Lavender,Incense;Oud;Benzoin,Floral Woody Musk,4.5,
Frederic Malle,Aura Elixir 0999,WOMEN,2004,Fig Leaf;Saffron;Neroli,Ylang Ylang;Iris;Violet,Vanilla;Leather;Incense,Woody Spicy,3.6,
Le Labo,Noir Legend 1000,MEN,2007,Juniper Berries;Grapefruit;Mint,Patchouli;Iris;Dates,Sandalwood;Cashmeran;Praline,Woody Amber,4.3,https://images.odora.it/perfumes/le-labo-1000.jpg
Dior,Velvet Sillage 1001,UNISEX,2005,Ginger;Pink Pepper;Cardamom,Geranium;Lavender;Cinnamon,Praline;Incense;Vanilla,Woody Spicy,4.1,
Chanel,Zenith Essence 1002,MEN,1990,Fig Leaf;Lavender;Mandarin,Coffee;Geranium;Nutmeg,Amber;Cashmeran;Benzoin,Floral Musk,4.3,
Xerjoff,Absolu Nectar 1003,MEN,2006,Neroli;Cardamom;Pink Pepper,Rose;Lavender;Cedar,Myrrh;Cedarwood;Labdanum,Amber Gourmand,4.7,
Lattafa,Noir Veil 1004,UNISEX,1997,Juniper Berries;Aldehydes;Ginger,Cedar;Jasmine;Dates,Vanilla;Praline;Oakmoss,Floral Musk,4.1,
Amouage,Mystic Reserve 1005,MEN,1995,Cardamom;Juniper Berries;Fig Leaf,Fig;Jasmine;Orange Blossom,Vetiver;Amber;Cedarwood,Aromatic Fougere,3.8,https://images.odora.it/perfumes/amouage-1005.jpg
Tom Ford,Eclat Elixir 1006,UNISEX,2020,Apple;Cardamom;Lemon,Lavender;Nutmeg;Ylang Ylang,Cashmeran;Vetiver;Benzoin,Amber Gourmand,4.5,
Guerlain,Royal Code 1007,UNISEX,1984,Saffron;Lemon;Pink Pepper,Rose;Dates;Violet,Sandalwood;Oud;Vetiver,Woody Amber,4.2,
Maison Francis Kurkdjian,Amber Code 1008,UNISEX,2007,Bergamot;Cardamom;Saffron,Cinnamon;Orange Blossom;Iris,Tonka Bean;Praline;Labdanum,Woody Spicy,3.6,
Diptyque,Velvet Edition 1009,MEN,2003,Lemon;Pink Pepper;Apple,Dates;Jasmine;Geranium,Oud;Incense;Benzoin,Fresh Citrus,4.8,
Byredo,Zenith Pulse 1010,WOMEN,1988,Grapefruit;Mint;Apple,Ylang Ylang;Geranium;Coffee,Vetiver;Myrrh;Musk,Aromatic Fougere,4.2,https://images.odora.it/perfumes/byredo-1010.jpg
Yves Saint Laurent,Eclat Elixir 1011,WOMEN,2005,Pear;Grapefruit;Pink Pepper,Patchouli;Coffee;Iris,Benzoin;Cashmeran;Amber,Fresh Citrus,3.6,
Acqua di Parma,Intense Veil 1012,WOMEN,2018,Cardamom;Mint;Mandarin,Geranium;Patchouli;Nutmeg,Praline;Cashmeran;Vanilla,Floral Woody Musk,4.9,
Parfums de Marly,Zenith Legend 1013,WOMEN,1981,Aldehydes;Juniper Berries;Pear,Violet;Patchouli;Orange Blossom,Incense;Vetiver;Amber,Oriental Vanilla,4.8,
Initio,Luminous Signature 1014,UNISEX,1993,Pear;Apple;Bergamot,Dates;Cedar;Orange Blossom,Oud;Incense;Musk,Citrus Aromatic,4.2,
Mancera,Zenith Legend 1015,WOMEN,1991,Grapefruit;Pear;Saffron,Coffee;Iris;Ylang Ylang,Incense;Benzoin;Oakmoss,Floral Musk,4.9,https://images.odora.it/perfumes/mancera-1015.jpg
Montale,Zenith Elixir 1016,WOMEN,1995,Lavender;Fig Leaf;Cardamom,Ylang Ylang;Lavender;Dates,Vanilla;Benzoin;Vetiver,Citrus Aromatic,4.0,
Nishane,Zenith Spirit 1017,UNISEX,1986,Cardamom;Ginger;Bergamot,Cedar;Tuberose;Cinnamon,Tonka Bean;Myrrh;Cedarwood,Citrus Aromatic,3.8,
Memo Paris,Midnight Reserve 1018,UNISEX,1994,Juniper Berries;Aldehydes;Mandarin,Violet;Nutmeg;Cedar,Vanilla;Myrrh;Oakmoss,Aromatic Fougere,4.7,
Frederic Malle,Silk Fusion 1019,UNISEX,2016,Mandarin;Cardamom;Ginger,Jasmine;Cedar;Geranium,Benzoin;Cashmeran;Amber,Green Aromatic,4.4,
Le Labo,Zenith Nectar 1020,MEN,2011,Pear;Neroli;Lemon,Jasmine;Patchouli;Tuberose,Benzoin;Cedarwood;Incense,Woody Spicy,4.3,https://images.odora.it/perfumes/le-labo-1020.jpg
Dior,Amber Code 1021,WOMEN,2005,Cardamom;Juniper Berries;Ginger,Violet;Tuberose;Cedar,Sandalwood;Incense;Musk,Floral Woody Musk,3.8,
Chanel,Opaline Trail 1022,MEN,2002,Juniper Berries;Mandarin;Bergamot,Dates;Geranium;Tuberose,Myrrh;Sandalwood;Labdanum,Citrus Aromatic,4.1,
Xerjoff,Noir Fusion 1023,WOMEN,2009,Pear;Saffron;Lemon,Rose;Geranium;Orange Blossom,Benzoin;Oud;Tonka Bean,Floral Woody Musk,4.4,
Lattafa,Luminous Essence 1024,MEN,2013,Pear;Cardamom;Juniper Berries,Cedar;Violet;Tuberose,Incense;Oakmoss;Tonka Bean,Floral Woody Musk,4.6,
Amouage,Oud Legend 1025,MEN,2008,Apple;Lemon;Fig Leaf,Coffee;Violet;Orange Blossom,Musk;Vetiver;Leather,Oriental Vanilla,4.6,https://images.odora.it/perfumes/amouage-1025.jpg
Tom Ford,Silk Signature 1026,WOMEN,2005,Mint;Bergamot;Lavender,Coffee;Violet;Orange Blossom,Vetiver;Vanilla;Myrrh,Woody Spicy,3.8,
Guerlain,Luminous Eau de Parfum 1027,WOMEN,2016,Saffron;Fig Leaf;Lavender,Patchouli;Coffee;Lavender,Incense;Labdanum;Leather,Fresh Citrus,3.6,
Maison Francis Kurkdjian,Intense Pulse 1028,MEN,2004,Neroli;Cardamom;Fig Leaf,Cedar;Nutmeg;Violet,Labdanum;Benzoin;Oakmoss,Woody Amber,3.6,
Diptyque,Solar Sillage 1029,WOMEN,2014,Aldehydes;Mandarin;Ginger,Geranium;Lavender;Patchouli,Leather;Tonka Bean;Myrrh,Aromatic Fougere,3.6,
Byredo,Royal Elixir 1030,UNISEX,2005,Apple;Neroli;Juniper Berries,Violet;Dates;Rose,Tonka Bean;Amber;Vetiver,Woody Spicy,4.9,https://images.odora.it/perfumes/byredo-1030.jpg
Yves Saint Laurent,Oud Bloom 1031,MEN,2016,Aldehydes;Mint;Juniper Berries,Dates;Ylang Ylang;Patchouli,Cashmeran;Benzoin;Labdanum,Woody Spicy,4.3,
Acqua di Parma,Silk Edition 1032,MEN,1995,Fig Leaf;Grapefruit;Bergamot,Tuberose;Jasmine;Coffee,Vetiver;Cedarwood;Leather,Amber Gourmand,4.5,
Parfums de Marly,Mystic Edition 1033,UNISEX,1995,Pear;Aldehydes;Neroli,Fig;Orange Blossom;Lavender,Myrrh;Oakmoss;Labdanum,Fresh Citrus,4.1,
Initio,Amber Edition 1034,UNISEX,2019,Fig Leaf;Lavender;Pink Pepper,Rose;Iris;Dates,Incense;Benzoin;Praline,Green Aromatic,3.8,
Mancera,Aura Code 1035,MEN,2012,Pear;Ginger;Mandarin,Cinnamon;Tuberose;Cedar,Sandalwood;Incense;Oakmoss,Aromatic Fougere,3.8,https://images.odora.it/perfumes/mancera-1035.jpg
Montale,Noble Whisper 1036,MEN,2014,Apple;Saffron;Bergamot,Lavender;Tuberose;Ylang Ylang,Praline;Vetiver;Vanilla,Aromatic Fougere,4.1,
Nishane,Amber Nectar 1037,UNISEX,2024,Mandarin;Grapefruit;Pink Pepper,Cinnamon;Geranium;Orange Blossom,Praline;Cedarwood;Labdanum,Floral Woody Musk,3.6,
Memo Paris,Velvet Nectar 1038,MEN,2015,Aldehydes;Juniper Berries;Pear,Nutmeg;Fig;Jasmine,Cashmeran;Oud;Cedarwood,Aromatic Fougere,3.8,
Frederic Malle,Oud Bloom 1039,UNISEX,1997,Juniper Berries;Lavender;Lemon,Jasmine;Rose;Fig,Sandalwood;Cashmeran;Tonka Bean,Green Aromatic,4.3,
Le Labo,Velvet Fusion 1040,UNISEX,2011,Mint;Apple;Lemon,Ylang Ylang;Coffee;Rose,Oud;Incense;Tonka Bean,Amber Gourmand,4.6,https://images.odora.it/perfumes/le-labo-1040.jpg
Dior,Velvet Reserve 1041,WOMEN,2005,Ginger;Apple;Pink Pepper,Rose;Cedar;Orange Blossom,Labdanum;Amber;Vetiver,Fresh Citrus,3.6,
Chanel,Silk Parfum 1042,UNISEX,2005,Pink Pepper;Lavender;Mint,Cedar;Orange Blossom;Dates,Musk;Vanilla;Amber,Green Aromatic,4.8,
Xerjoff,Aura Whisper 1043,WOMEN,2007,Lavender;Juniper Berries;Apple,Coffee;Iris;Cedar,Cashmeran;Vetiver;Incense,Aromatic Fougere,4.0,
Lattafa,Zenith Fusion 1044,WOMEN,1984,Fig Leaf;Neroli;Ginger,Jasmine;Cedar;Geranium,Vanilla;Oakmoss;Leather,Woody Spicy,4.4,
Amouage,Noir Reserve 1045,UNISEX,2008,Apple;Juniper Berries;Grapefruit,Jasmine;Ylang Ylang;Cinnamon,Benzoin;Praline;Incense,Floral Woody Musk,4.5,https://images.odora.it/perfumes/amouage-1045.jpg
Tom Ford,Velvet Spirit 1046,UNISEX,2019,Lemon;Grapefruit;Pink Pepper,Orange Blossom;Iris;Cedar,Sandalwood;Oud;Amber,Citrus Aromatic,3.9,
Guerlain,Zenith Whisper 1047,UNISEX,2013,Ginger;Bergamot;Pear,Cedar;Tuberose;Dates,Benzoin;Oud;Cashmeran,Aromatic Fougere,4.6,
Maison Francis Kurkdjian,Oud Elixir 1048,WOMEN,2014,Mandarin;Lavender;Pear,Jasmine;Ylang Ylang;Violet,Cashmeran;Amber;Labdanum,Citrus Aromatic,4.2,
Diptyque,Solar Sillage 1049,MEN,1988,Bergamot;Cardamom;Aldehydes,Geranium;Patchouli;Cinnamon,Musk;Myrrh;Cedarwood,Woody Spicy,3.7,
Byredo,Saffron Eau de Parfum 1050,MEN,1983,Neroli;Saffron;Bergamot,Geranium;Dates;Orange Blossom,Amber;Sandalwood;Benzoin,Floral Woody Musk,4.8,https://images.odora.it/perfumes/byredo-1050.jpg
Yves Saint Laurent,Absolu Signature 1051,MEN,2024,Apple;Mint;Lavender,Violet;Coffee;Iris,Amber;Oud;Labdanum,Oriental Vanilla,3.7,
Acqua di Parma,Midnight Eau de Parfum 1052,UNISEX,1989,Bergamot;Pink Pepper;Cardamom,Fig;Violet;Jasmine,Benzoin;Cedarwood;Incense,Woody Spicy,4.2,
Parfums de Marly,Royal Eau de Parfum 1053,UNISEX,2007,Pear;Apple;Lemon,Orange Blossom;Jasmine;Dates,Oakmoss;Musk;Benzoin,Floral Musk,4.5,
Initio,Aura Signature 1054,UNISEX,2010,Lemon;Juniper Berries;Mint,Lavender;Geranium;Fig,Musk;Oakmoss;Cedarwood,Woody Amber,4.7,
Mancera,Oud Bloom 1055,MEN,1990,Aldehydes;Neroli;Ginger,Dates;Lavender;Cinnamon,Oud;Tonka Bean;Amber,Woody Spicy,4.3,https://images.odora.it/perfumes/mancera-1055.jpg
Montale,Noble Whisper 1056,UNISEX,1982,Apple;Aldehydes;Ginger,Nutmeg;Cinnamon;Violet,Musk;Vetiver;Benzoin,Floral Woody Musk,3.9,
Nishane,Eclat Veil 1057,MEN,2004,Neroli;Lavender;Cardamom,Cedar;Cinnamon;Iris,Musk;Tonka Bean;Cedarwood,Woody Spicy,4.4,
Memo Paris,Zenith Spirit 1058,UNISEX,1983,Saffron;Apple;Pink Pepper,Tuberose;Nutmeg;Fig,Myrrh;Musk;Vanilla,Floral Woody Musk,3.7,
Frederic Malle,Opaline Spirit 1059,MEN,1991,Mint;Grapefruit;Pink Pepper,Violet;Coffee;Rose,Benzoin;Myrrh;Amber,Floral Musk,4.5,
Le Labo,Intense Essence 1060,UNISEX,2019,Fig Leaf;Apple;Bergamot,Lavender;Violet;Cedar,Vanilla;Vetiver;Leather,Fresh Citrus,4.0,https://images.odora.it/perfumes/le-labo-1060.jpg
Dior,Amber Spirit 1061,MEN,2021,Fig Leaf;Juniper Berries;Bergamot,Lavender;Iris;Jasmine,Cashmeran;Praline;Myrrh,Oriental Vanilla,3.7,
Chanel,Oud Veil 1062,UNISEX,1986,Mint;Ginger;Bergamot,Iris;Rose;Patchouli,Incense;Tonka Bean;Sandalwood,Amber Gourmand,4.6,
Xerjoff,Mystic Trail 1063,WOMEN,2022,Saffron;Juniper Berries;Mint,Fig;Nutmeg;Dates,Praline;Sandalwood;Oud,Green Aromatic,3.9,
Lattafa,Noble Reserve 1064,UNISEX,2009,Grapefruit;Aldehydes;Cardamom,Jasmine;Nutmeg;Ylang Ylang,Vetiver;Cedarwood;Oud,Aromatic Fougere,4.1,
Amouage,Silk Eau de Parfum 1065,WOMEN,1994,Pear;Aldehydes;Mandarin,Orange Blossom;Coffee;Ylang Ylang,Vetiver;Cedarwood;Sandalwood,Woody Amber,4.4,https://images.odora.it/perfumes/amouage-1065.jpg
Tom Ford,Aura Spirit 1066,UNISEX,2012,Aldehydes;Fig Leaf;Mint,Ylang Ylang;Iris;Tuberose,Tonka Bean;Benzoin;Praline,Citrus Aromatic,4.6,
Guerlain,Mystic Whisper 1067,MEN,1996,Saffron;Ginger;Mandarin,Dates;Lavender;Cinnamon,Tonka Bean;Cashmeran;Oakmoss,Green Aromatic,4.4,
Maison Francis Kurkdjian,Velvet Reserve 1068,MEN,1994,Juniper Berries;Grapefruit;Neroli,Orange Blossom;Dates;Fig,Musk;Tonka Bean;Praline,Aromatic Fougere,4.8,
Diptyque,Zenith Reserve 1069,WOMEN,1998,Saffron;Bergamot;Fig Leaf,Patchouli;Cinnamon;Cedar,Benzoin;Tonka Bean;Musk,Woody Amber,4.4,
Byredo,Noble Veil 1070,WOMEN,2005,Pear;Aldehydes;Grapefruit,Ylang Ylang;Tuberose;Cedar,Cedarwood;Tonka Bean;Musk,Floral Woody Musk,4.2,https://images.odora.it/perfumes/byredo-1070.jpg
Yves Saint Laurent,Velvet Signature 1071,WOMEN,1984,Lemon;Apple;Ginger,Dates;Coffee;Fig,Oud;Musk;Vetiver,Oriental Vanilla,3.7,
Acqua di Parma,Noble Nectar 1072,MEN,2024,Bergamot;Apple;Mint,Violet;Rose;Cedar,Vetiver;Cedarwood;Incense,Amber Gourmand,4.6,
Parfums de Marly,Mystic Code 1073,MEN,1998,Neroli;Grapefruit;Pear,Ylang Ylang;Cinnamon;Cedar,Tonka Bean;Incense;Sandalwood,Fresh Citrus,4.2,
Initio,Zenith Essence 1074,WOMEN,2003,Ginger;Lavender;Grapefruit,Iris;Geranium;Ylang Ylang,Oakmoss;Praline;Labdanum,Fresh Citrus,4.3,
Mancera,Mystic Spirit 1075,UNISEX,1992,Mint;Lavender;Apple,Lavender;Cinnamon;Ylang Ylang,Vanilla;Praline;Myrrh,Floral Musk,4.3,https://images.odora.it/perfumes/mancera-1075.jpg
Montale,Noble Pulse 1076,MEN,2023,Mandarin;Grapefruit;Cardamom,Orange Blossom;Cedar;Tuberose,Labdanum;Oud;Vetiver,Amber Gourmand,3.6,
Nishane,Eclat Eau de Parfum 1077,UNISEX,1997,Pear;Neroli;Mandarin,Tuberose;Patchouli;Fig,Benzoin;Oud;Vanilla,Aromatic Fougere,4.9,
Memo Paris,Noble Trail 1078,WOMEN,1988,Lavender;Fig Leaf;Saffron,Ylang Ylang;Violet;Coffee,Benzoin;Vetiver;Oud,Fresh Citrus,4.0,
Frederic Malle,Silk Sillage 1079,UNISEX,2024,Lavender;Grapefruit;Ginger,Coffee;Nutmeg;Cinnamon,Labdanum;Amber;Oakmoss,Oriental Vanilla,3.9,
Le Labo,Midnight Parfum 1080,MEN,1997,Pear;Ginger;Mandarin,Violet;Tuberose;Fig,Incense;Myrrh;Musk,Oriental Vanilla,4.3,https://images.odora.it/perfumes/le-labo-1080.jpg
Dior,Solar Edition 1081,MEN,1980,Ginger;Pear;Bergamot,Lavender;Orange Blossom;Jasmine,Cedarwood;Benzoin;Praline,Floral Musk,4.0,
Chanel,Amber Parfum 1082,UNISEX,1983,Cardamom;Mint;Aldehydes,Patchouli;Nutmeg;Orange Blossom,Oakmoss;Leather;Amber,Aromatic Fougere,4.1,
Xerjoff,Noir Essence 1083,WOMEN,2024,Mint;Pink Pepper;Bergamot,Lavender;Geranium;Rose,Vanilla;Oakmoss;Amber,Woody Amber,4.6,
Lattafa,Luminous Sillage 1084,WOMEN,1993,Juniper Berries;Mandarin;Lemon,Coffee;Dates;Patchouli,Cedarwood;Incense;Labdanum,Floral Woody Musk,4.2,
Amouage,Amber Fusion 1085,WOMEN,1997,Fig Leaf;Aldehydes;Pear,Rose;Coffee;Geranium,Oud;Praline;Sandalwood,Woody Amber,4.3,https://images.odora.it/perfumes/amouage-1085.jpg
Tom Ford,Silk Whisper 1086,MEN,1982,Neroli;Cardamom;Saffron,Nutmeg;Lavender;Dates,Praline;Leather;Benzoin,Amber Gourmand,3.5,
Guerlain,Velvet Edition 1087,MEN,1996,Fig Leaf;Saffron;Grapefruit,Coffee;Orange Blossom;Cinnamon,Cashmeran;Cedarwood;Musk,Fresh Citrus,4.4,
Maison Francis Kurkdjian,Solar Parfum 1088,MEN,2003,Aldehydes;Pink Pepper;Mint,Rose;Patchouli;Fig,Amber;Incense;Cedarwood,Fresh Citrus,4.2,
Diptyque,Opaline Parfum 1089,UNISEX,2005,Juniper Berries;Pink Pepper;Cardamom,Violet;Nutmeg;Fig,Leather;Benzoin;Labdanum,Woody Spicy,4.0,
Byredo,Oud Sillage 1090,MEN,2007,Neroli;Cardamom;Ginger,Lavender;Cedar;Violet,Tonka Bean;Musk;Amber,Citrus Aromatic,4.0,https://images.odora.it/perfumes/byredo-1090.jpg
Yves Saint Laurent,Zenith Edition 1091,MEN,2021,Mint;Apple;Pear,Coffee;Tuberose;Cedar,Incense;Myrrh;Benzoin,Woody Spicy,3.7,
Acqua di Parma,Luminous Trail 1092,MEN,1999,Bergamot;Pink Pepper;Grapefruit,Coffee;Ylang Ylang;Geranium,Praline;Vanilla;Cashmeran,Fresh Citrus,4.3,
Parfums de Marly,Aura Edition 1093,WOMEN,1985,Lavender;Neroli;Fig Leaf,Dates;Jasmine;Ylang Ylang,Praline;Cedarwood;Myrrh,Woody Amber,4.6,
Initio,Eclat Eau de Parfum 1094,UNISEX,1993,Neroli;Mandarin;Fig Leaf,Coffee;Lavender;Dates,Labdanum;Amber;Benzoin,Amber Gourmand,3.9,
Mancera,Solar Nectar 1095,UNISEX,2009,Apple;Ginger;Aldehydes,Coffee;Cedar;Tuberose,Praline;Sandalwood;Cedarwood,Green Aromatic,4.0,https://images.odora.it/perfumes/mancera-1095.jpg
Montale,Absolu Edition 1096,MEN,2009,Mandarin;Bergamot;Aldehydes,Rose;Coffee;Jasmine,Benzoin;Sandalwood;Labdanum,Green Aromatic,3.8,
Nishane,Intense Pulse 1097,MEN,2024,Juniper Berries;Bergamot;Lavender,Violet;Lavender;Nutmeg,Myrrh;Oud;Vanilla,Floral Woody Musk,4.5,
Memo Paris,Velvet Spirit 1098,WOMEN,1999,Cardamom;Neroli;Ginger,Coffee;Cinnamon;Tuberose,Praline;Tonka Bean;Sandalwood,Floral Musk,4.4,
Frederic Malle,Noble Reserve 1099,WOMEN,1981,Pink Pepper;Mint;Lemon,Nutmeg;Cinnamon;Coffee,Myrrh;Sandalwood;Tonka Bean,Citrus Aromatic,3.7,
Le Labo,Amber Spirit 1100,MEN,1998,Mandarin;Juniper Berries;Saffron,Nutmeg;Geranium;Orange Blossom,Myrrh;Cashmeran;Oakmoss,Woody Amber,4.9,https://images.odora.it/perfumes/le-labo-1100.jpg
Dior,Noble Whisper 1101,MEN,1993,Mint;Pink Pepper;Juniper Berries,Geranium;Cinnamon;Fig,Sandalwood;Leather;Myrrh,Woody Amber,4.3,
Chanel,Royal Eau de Parfum 1102,UNISEX,2007,Mandarin;Cardamom;Aldehydes,Geranium;Coffee;Ylang Ylang,Oud;Vetiver;Benzoin,Oriental Vanilla,4.4,
Xerjoff,Eclat Elixir 1103,UNISEX,1995,Fig Leaf;Pink Pepper;Juniper Berries,Tuberose;Cedar;Fig,Amber;Labdanum;Myrrh,Floral Musk,4.3,
Lattafa,Eclat Code 1104,UNISEX,2009,Aldehydes;Ginger;Lavender,Jasmine;Lavender;Geranium,Myrrh;Praline;Labdanum,Fresh Citrus,3.7,
Amouage,Royal Edition 1105,MEN,2018,Bergamot;Ginger;Mandarin,Dates;Jasmine;Nutmeg,Vetiver;Musk;Incense,Amber Gourmand,4.6,https://images.odora.it/perfumes/amouage-1105.jpg
Tom Ford,Oud Essence 1106,WOMEN,2022,Aldehydes;Mandarin;Lavender,Tuberose;Jasmine;Patchouli,Myrrh;Benzoin;Vanilla,Woody Amber,4.0,
Guerlain,Mystic Bloom 1107,MEN,2003,Aldehydes;Juniper Berries;Pink Pepper,Cinnamon;Dates;Lavender,Oakmoss;Musk;Oud,Citrus Aromatic,4.0,
Maison Francis Kurkdjian,Intense Code 1108,UNISEX,2003,Neroli;Grapefruit;Mandarin,Nutmeg;Cinnamon;Ylang Ylang,Vetiver;Incense;Cashmeran,Woody Spicy,3.7,
Diptyque,Noble Nectar 1109,WOMEN,2008,Grapefruit;Pear;Neroli,Geranium;Lavender;Cinnamon,Tonka Bean;Cashmeran;Oakmoss,Floral Woody Musk,3.9,
Byredo,Velvet Reserve 1110,UNISEX,1982,Saffron;Bergamot;Ginger,Iris;Orange Blossom;Nutmeg,Oakmoss;Oud;Cashmeran,Aromatic Fougere,4.6,https://images.odora.it/perfumes/byredo-1110.jpg
Yves Saint Laurent,Opaline Parfum 1111,MEN,1995,Lavender;Pink Pepper;Neroli,Rose;Orange Blossom;Coffee,Cashmeran;Oud;Oakmoss,Citrus Aromatic,4.7,
Acqua di Parma,Eclat Legend 1112,UNISEX,2016,Ginger;Bergamot;Apple,Dates;Fig;Patchouli,Sandalwood;Praline;Oud,Citrus Aromatic,4.2,
Parfums de Marly,Solar Pulse 1113,WOMEN,2003,Saffron;Juniper Berries;Neroli,Nutmeg;Iris;Patchouli,Incense;Vanilla;Oakmoss,Amber Gourmand,3.7,
Initio,Absolu Pulse 1114,MEN,2018,Lavender;Bergamot;Apple,Jasmine;Violet;Nutmeg,Myrrh;Oud;Cashmeran,Fresh Citrus,3.9,
Mancera,Luminous Reserve 1115,UNISEX,2022,Lavender;Lemon;Grapefruit,Fig;Patchouli;Geranium,Amber;Incense;Praline,Fresh Citrus,4.8,https://images.odora.it/perfumes/mancera-1115.jpg
Montale,Intense Legend 1116,UNISEX,1988,Pink Pepper;Mint;Grapefruit,Fig;Cedar;Dates,Vetiver;Sandalwood;Vanilla,Citrus Aromatic,4.1,
Nishane,Luminous Veil 1117,MEN,2016,Fig Leaf;Lavender;Pear,Iris;Violet;Coffee,Incense;Sandalwood;Musk,Green Aromatic,3.6,
Memo Paris,Aura Signature 1118,MEN,1991,Lemon;Mint;Grapefruit,Coffee;Lavender;Geranium,Leather;Benzoin;Myrrh,Green Aromatic,4.6,
Frederic Malle,Oud Pulse 1119,WOMEN,2008,Ginger;Apple;Juniper Berries,Iris;Fig;Cinnamon,Sandalwood;Musk;Benzoin,Oriental Vanilla,4.0,
Le Labo,Royal Spirit 1120,UNISEX,2005,Lemon;Lavender;Juniper Berries,Fig;Orange Blossom;Jasmine,Tonka Bean;Cedarwood;Oud,Aromatic Fougere,4.5,https://images.odora.it/perfumes/le-labo-1120.jpg
Dior,Oud Parfum 1121,MEN,2006,Fig Leaf;Lemon;Neroli,Cedar;Fig;Lavender,Vanilla;Labdanum;Cashmeran,Floral Musk,4.8,
Chanel,Intense Elixir 1122,WOMEN,2014,Mandarin;Saffron;Cardamom,Coffee;Jasmine;Nutmeg,Oud;Vanilla;Amber,Woody Amber,3.6,
Xerjoff,Absolu Veil 1123,UNISEX,1980,Grapefruit;Mint;Lavender,Coffee;Lavender;Orange Blossom,Vanilla;Vetiver;Myrrh,Oriental Vanilla,4.1,
Lattafa,Silk Legend 1124,UNISEX,2019,Aldehydes;Bergamot;Pink Pepper,Cinnamon;Patchouli;Rose,Myrrh;Vanilla;Benzoin,Floral Musk,4.0,
Amouage,Opaline Nectar 1125,WOMEN,2010,Cardamom;Apple;Neroli,Orange Blossom;Coffee;Fig,Cedarwood;Amber;Oud,Floral Musk,4.7,https://images.odora.it/perfumes/amouage-1125.jpg
Tom Ford,Aura Veil 1126,UNISEX,2019,Pear;Bergamot;Neroli,Patchouli;Ylang Ylang;Coffee,Musk;Amber;Cashmeran,Woody Amber,3.6,
Guerlain,Absolu Bloom 1127,UNISEX,2004,Grapefruit;Mandarin;Pear,Geranium;Violet;Lavender,Benzoin;Vetiver;Leather,Floral Musk,4.0,
Maison Francis Kurkdjian,Zenith Veil 1128,UNISEX,2022,Aldehydes;Grapefruit;Neroli,Nutmeg;Violet;Rose,Leather;Myrrh;Benzoin,Oriental Vanilla,3.7,
Diptyque,Eclat Bloom 1129,UNISEX,1987,Mint;Lavender;Grapefruit,Violet;Tuberose;Dates,Cashmeran;Tonka Bean;Cedarwood,Woody Amber,3.6,
Byredo,Mystic Pulse 1130,UNISEX,2022,Aldehydes;Fig Leaf;Apple,Iris;Orange Blossom;Violet,Myrrh;Amber;Vetiver,Woody Amber,4.5,https://images.odora.it/perfumes/byredo-1130.jpg
